"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Botswana","BWA","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","333.543","329.999","326.454","322.924","319.394","315.863","312.333","308.803","302.962","297.121","291.281","285.44","279.6","272.488","265.377","258.266","251.154","244.043","238.85","233.658","228.465","223.272","218.08","216.522","214.965","213.407","211.85","210.293","221.634","232.976","244.318","255.66","267.002","305.437","343.872","382.307","420.743","459.178","475.186","491.194","507.203","523.211","539.22","509.391","479.562","449.733","419.904","390.075","360.343","330.611","300.88","271.148","241.416","225.82","210.225","194.629","179.033","",
"Central African Republic","CAF","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","459.198","454.304","449.41","443.438","437.466","431.494","425.522","419.55","411.105","402.661","394.216","385.772","377.327","369.735","362.143","354.551","346.959","339.367","335.41","331.452","327.495","323.538","319.581","322.049","324.518","326.986","329.455","331.923","343.938","355.954","367.969","379.984","392","411.212","430.425","449.638","468.85","488.063","499.608","511.153","522.699","534.244","545.789","536.029","526.269","516.509","506.749","496.99","485.963","474.936","463.91","452.883","441.856","426.381","410.905","395.429","379.954","",
"Canada","CAN","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","109.68","106.478","108.113","106.712","104.394","105.297","104.196","103.919","103.277","103.753","102.591","98.635","100.887","100.465","97.895","96.713","91.714","92.578","88.614","89.195","86.316","84.338","82.033","78.54","76.411","77.326","75.334","74.402","72.199","71.768","69.65","69.002","68.411","67.325","67.583","66.91","66.044","63.22","62.69","61.592","61.077","59.331","59.489","58.263","57.019","57.091","55.936","55.425","55.889","54.762","52.65","52.231","","","","","","",
"Central Europe and the Baltics","CEB","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","124.717786549594","120.563646736443","120.132443745259","116.948510291946","114.026464621442","113.155175577427","111.88502551075","110.635652165191","110.631685248396","112.162530393907","110.265575852637","110.157900055951","107.494665931594","107.14194211124","106.727464311811","106.454187043372","106.974851616205","107.294660161305","108.580022345731","108.236328736198","109.719648355158","108.430888602584","107.382179251007","108.145476162962","108.520946767007","109.222330857682","107.413706677107","107.111359219651","105.60997921136","106.743474531783","106.603067504148","107.660676236939","106.512481341474","105.478398517931","105.417886648058","104.419618664153","100.350303661524","100.665937883481","98.2804435611872","97.2694821863106","94.6278966804481","92.784143031284","90.0303705738897","89.1827043335662","87.2946234305741","86.8068884201417","85.6060252928514","84.8926298600356","82.3014160877294","80.2230454915248","77.0399295101645","74.8081021151253","73.0795512969117","71.3547991132946","69.0060451919794","","","",
"Switzerland","CHE","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","98.981","100.093","99.663","97.736","93.008","91.257","90.672","85.98","90.428","89.845","87.015","88.204","83.889","80.194","77.258","77.06","73.856","72.893","74.922","76.227","73.205","70.269","70.892","67.407","67.017","66.314","64.295","62.702","63.822","63.499","62.353","62.439","61.173","60.871","61.014","61.455","57.405","57.531","55.189","53.659","53.925","51.73","51.994","50.217","47.119","46.192","46.842","45.6","42.92","42.246","42.582","40.007","40.09","38.697","36.841","","","",
"Channel Islands","CHI","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","112.482","111.134","109.786","108.129","106.472","104.815","103.158","101.5","100.55","99.6","98.65","97.7","96.75","95.415","94.08","92.746","91.411","90.076","88.203","86.33","84.457","82.584","80.711","79.45","78.189","76.928","75.667","74.407","72.925","71.443","69.962","68.48","66.999","66.014","65.028","64.043","63.058","62.072","60.729","59.386","58.043","56.7","55.357","53.938","52.519","51.099","49.68","48.261","47.502","46.744","45.985","45.227","44.468","43.822","43.176","42.53","41.885","",
"Chile","CHL","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","232.055","227.468","222.882","219.377","215.871","212.366","208.86","205.355","199.869","194.383","188.896","183.41","177.924","171.876","165.828","159.78","153.732","147.684","142.471","137.258","132.045","126.832","121.62","118.393","115.167","111.94","108.714","105.488","102.736","99.985","97.234","94.483","91.732","89.424","87.116","84.809","82.501","80.193","78.641","77.088","75.536","73.983","72.431","72.181","71.93","71.68","71.43","71.179","70.921","70.663","70.405","70.146","69.888","68.985","68.082","67.179","66.276","",
"China","CHN","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","397.316","396.271","395.226","371.219","347.213","323.206","299.2","275.193","257.75","240.308","222.865","205.422","187.979","179.878","171.778","163.677","155.577","147.476","144.034","140.592","137.15","133.709","130.267","127.03","123.793","120.556","117.319","114.083","112.916","111.749","110.583","109.416","108.249","106.486","104.722","102.958","101.194","99.431","96.886","94.342","91.798","89.254","86.71","84.895","83.081","81.267","79.453","77.639","76.302","74.965","73.627","72.29","70.953","69.986","69.019","68.052","67.085","",
"Cote d'Ivoire","CIV","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","431.064","426.953","422.842","419.893","416.944","413.995","411.046","408.097","398.08","388.062","378.044","368.027","358.009","351.432","344.855","338.277","331.7","325.123","320.496","315.869","311.242","306.615","301.989","299.748","297.508","295.267","293.027","290.786","297.031","303.276","309.52","315.765","322.01","343.424","364.838","386.252","407.666","429.08","433.278","437.476","441.673","445.871","450.069","443.194","436.319","429.445","422.57","415.695","411.779","407.864","403.948","400.032","396.117","389.765","383.414","377.062","370.711","",
"Cameroon","CMR","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","406.593","401.794","396.995","392.417","387.838","383.26","378.681","374.103","368.647","363.192","357.737","352.281","346.826","341.924","337.023","332.121","327.22","322.318","318.578","314.837","311.096","307.356","303.615","303.786","303.956","304.127","304.297","304.468","312.074","319.68","327.286","334.892","342.498","353.034","363.569","374.105","384.64","395.176","395.723","396.27","396.817","397.364","397.911","390.25","382.59","374.929","367.269","359.608","354.788","349.967","345.146","340.325","335.504","331.877","328.25","324.623","320.996","",
